1,0.9,-16755201
0.9,0.8,-15244035
0.8,0.7,-13733126
0.7,0.6,-12221960
0.6,0.5,-10711051
0.5,0.4,-9199885
0.4,0.3,-7688976
0.3,0.2,-6177810
0.2,0.1,-4666901
0.1,0.000000000001,-3155735
0.000000000001,-0.000000000001,-1644826
-0.000000000001,-0.1,-1454129
-0.1,-0.2,-1328968
-0.2,-0.3,-1138271
-0.3,-0.4,-1013110
-0.4,-0.5,-1412237
-0.5,-0.6,-697252
-0.6,-0.7,-506555
-0.7,-0.8,-381394
-0.8,-0.9,-190697
-0.9,-1,-65536
